,certified,model,mileage,price,monthly,dealer,review,rating
3005,Used,2019 Nissan Titan XD SV,"83,241 mi.","$37,777",Fair Deal,"
All Star Dodge Chrysler Jeep RAM
",(919 reviews),3.7
3006,Used,2017 Chrysler Pacifica Touring-L,"91,810 mi.","$20,202",Fair Deal,"
Snell Motors
",(727 reviews),4.8
3007,Used,2023 Audi Q4 e-tron 50 Premium Plus,"9,765 mi.","$58,800",Fair Deal,"
RMR 4x4
",(1 review),N/A
3008,Used,2016 Lincoln MKX Reserve,"49,174 mi.","$25,995",Fair Deal,"
Joshua Motor Car Co Inc
",(26 reviews),5.0
3009,Used,2015 BMW 320 i xDrive,"116,100 mi.","$13,550",Fair Deal,"
Market Auto Sales
",(121 reviews),4.5
3010,Used,2020 BMW X4 M40i AWD 4dr Sports Activity Coupe,"51,369 mi.","$43,995",Fair Deal,"
Liberty Autoland
",(169 reviews),N/A
3011,Used,2019 Mercedes-Benz AMG E 53 Base 4MATIC,"27,302 mi.","$56,995",Fair Deal,"
Import Masters
",(498 reviews),3.4
3012,Used,2023 Chevrolet Silverado 1500 LT,"4,553 mi.","$52,999",Fair Deal,"
Mazda 112
","(1,952 reviews)",4.9
3013,Used,2019 BMW 650 Gran Coupe 650i xDrive M-Sport Edition,"43,056 mi.","$45,995",Fair Deal,"
North Bay Imports
",(139 reviews),4.0
3014,Used,2023 Rivian R1S Adventure,301 mi.,"$95,750",Fair Deal,"
eCarOne
","(2,101 reviews)",4.9
3015,Honda Certified,2019 Honda Fit LX,"29,712 mi.","$22,426",Fair Deal,"
McGovern Honda of Boston
","(1,206 reviews)",4.9
3016,Used,2019 Ford Flex SEL,"65,755 mi.","$28,775",Fair Deal,"
First City Cars and Trucks
",(21 reviews),N/A
3017,Used,2019 Jeep Wrangler Unlimited Sahara,"51,620 mi.","$37,944",Fair Deal,"
McGee Chevrolet
",(430 reviews),4.4
3018,Used,2019 Chevrolet Suburban Premier,"90,330 mi.","$43,159",Fair Deal,"
AutoNation Buick GMC Park Meadows
",(698 reviews),4.5
3019,Used,2021 Ford Ranger XLT,"25,053 mi.","$32,595",Fair Deal,"
DESOTO Ford
",(346 reviews),4.4
3020,GMC Certified,2021 GMC Canyon Elevation,"51,179 mi.","$34,000",Fair Deal,"
Salt Lake Valley Buick GMC
",(163 reviews),3.2
3021,Used,2021 Volkswagen Jetta 1.4T SE,"61,628 mi.","$20,311",Fair Deal,"
Walla Walla Valley Honda
",(152 reviews),4.1
3022,Used,2016 Lexus GX 460 Base,"76,125 mi.","$35,990",Fair Deal,"
BMW of Salem
",(747 reviews),4.8
3023,Used,2012 Cadillac CTS Luxury,"108,307 mi.","$9,998",Good Deal,"
#1 Cochran Chevrolet
",N/A,N/A
3024,Used,2017 Toyota Tacoma SR5,"136,746 mi.","$21,995",Fair Deal,"
Auto Land Group Inc
",(4 reviews),N/A
3025,Used,2023 Jeep Gladiator Mojave,"5,500 mi.","$67,991",Fair Deal,"
Dempsey Dodge Chrysler Jeep RAM
",(217 reviews),3.5
3026,Used,2019 Nissan Titan XD SV,"83,241 mi.","$37,777",Fair Deal,"
All Star Dodge Chrysler Jeep RAM
",(919 reviews),3.7
3027,Used,2017 Chrysler Pacifica Touring-L,"91,810 mi.","$20,202",Fair Deal,"
Snell Motors
",(727 reviews),4.8
3028,Used,2023 Audi Q4 e-tron 50 Premium Plus,"9,765 mi.","$58,800",Fair Deal,"
RMR 4x4
",(1 review),N/A
3029,Used,2016 Lincoln MKX Reserve,"49,174 mi.","$25,995",Fair Deal,"
Joshua Motor Car Co Inc
",(26 reviews),5.0
3030,Used,2015 BMW 320 i xDrive,"116,100 mi.","$13,550",Fair Deal,"
Market Auto Sales
",(121 reviews),4.5
3031,Used,2020 BMW X4 M40i AWD 4dr Sports Activity Coupe,"51,369 mi.","$43,995",Fair Deal,"
Liberty Autoland
",(169 reviews),N/A
3032,Used,2019 Mercedes-Benz AMG E 53 Base 4MATIC,"27,302 mi.","$56,995",Fair Deal,"
Import Masters
",(498 reviews),3.4
3033,Used,2023 Chevrolet Silverado 1500 LT,"4,553 mi.","$52,999",Fair Deal,"
Mazda 112
","(1,952 reviews)",4.9
3034,Used,2019 BMW 650 Gran Coupe 650i xDrive M-Sport Edition,"43,056 mi.","$45,995",Fair Deal,"
North Bay Imports
",(139 reviews),4.0
3035,Used,2023 Rivian R1S Adventure,301 mi.,"$95,750",Fair Deal,"
eCarOne
","(2,101 reviews)",4.9
3036,Honda Certified,2019 Honda Fit LX,"29,712 mi.","$22,426",Fair Deal,"
McGovern Honda of Boston
","(1,206 reviews)",4.9
3037,Used,2019 Ford Flex SEL,"65,755 mi.","$28,775",Fair Deal,"
First City Cars and Trucks
",(21 reviews),N/A
3038,Used,2019 Jeep Wrangler Unlimited Sahara,"51,620 mi.","$37,944",Fair Deal,"
McGee Chevrolet
",(430 reviews),4.4
3039,Used,2019 Chevrolet Suburban Premier,"90,330 mi.","$43,159",Fair Deal,"
AutoNation Buick GMC Park Meadows
",(698 reviews),4.5
3040,Used,2021 Ford Ranger XLT,"25,053 mi.","$32,595",Fair Deal,"
DESOTO Ford
",(346 reviews),4.4
3041,GMC Certified,2021 GMC Canyon Elevation,"51,179 mi.","$34,000",Fair Deal,"
Salt Lake Valley Buick GMC
",(163 reviews),3.2
3042,Used,2021 Volkswagen Jetta 1.4T SE,"61,628 mi.","$20,311",Fair Deal,"
Walla Walla Valley Honda
",(152 reviews),4.1
3043,Used,2016 Lexus GX 460 Base,"76,125 mi.","$35,990",Fair Deal,"
BMW of Salem
",(747 reviews),4.8
3044,Used,2012 Cadillac CTS Luxury,"108,307 mi.","$9,998",Good Deal,"
#1 Cochran Chevrolet
",N/A,N/A
3045,Used,2017 Toyota Tacoma SR5,"136,746 mi.","$21,995",Fair Deal,"
Auto Land Group Inc
",(4 reviews),N/A
3046,Used,2023 Jeep Gladiator Mojave,"5,500 mi.","$67,991",Fair Deal,"
Dempsey Dodge Chrysler Jeep RAM
",(217 reviews),3.5
3047,Used,2019 Nissan Titan XD SV,"83,241 mi.","$37,777",Fair Deal,"
All Star Dodge Chrysler Jeep RAM
",(919 reviews),3.7
3048,Used,2017 Chrysler Pacifica Touring-L,"91,810 mi.","$20,202",Fair Deal,"
Snell Motors
",(727 reviews),4.8
3049,Used,2023 Audi Q4 e-tron 50 Premium Plus,"9,765 mi.","$58,800",Fair Deal,"
RMR 4x4
",(1 review),N/A
3050,Used,2016 Lincoln MKX Reserve,"49,174 mi.","$25,995",Fair Deal,"
Joshua Motor Car Co Inc
",(26 reviews),5.0
3051,Used,2015 BMW 320 i xDrive,"116,100 mi.","$13,550",Fair Deal,"
Market Auto Sales
",(121 reviews),4.5
3052,Used,2020 BMW X4 M40i AWD 4dr Sports Activity Coupe,"51,369 mi.","$43,995",Fair Deal,"
Liberty Autoland
",(169 reviews),N/A
3053,Used,2019 Mercedes-Benz AMG E 53 Base 4MATIC,"27,302 mi.","$56,995",Fair Deal,"
Import Masters
",(498 reviews),3.4
3054,Used,2023 Chevrolet Silverado 1500 LT,"4,553 mi.","$52,999",Fair Deal,"
Mazda 112
","(1,952 reviews)",4.9
3055,Used,2019 BMW 650 Gran Coupe 650i xDrive M-Sport Edition,"43,056 mi.","$45,995",Fair Deal,"
North Bay Imports
",(139 reviews),4.0
3056,Used,2023 Rivian R1S Adventure,301 mi.,"$95,750",Fair Deal,"
eCarOne
","(2,101 reviews)",4.9
3057,Honda Certified,2019 Honda Fit LX,"29,712 mi.","$22,426",Fair Deal,"
McGovern Honda of Boston
","(1,206 reviews)",4.9
3058,Used,2019 Ford Flex SEL,"65,755 mi.","$28,775",Fair Deal,"
First City Cars and Trucks
",(21 reviews),N/A
3059,Used,2019 Jeep Wrangler Unlimited Sahara,"51,620 mi.","$37,944",Fair Deal,"
McGee Chevrolet
",(430 reviews),4.4
3060,Used,2019 Chevrolet Suburban Premier,"90,330 mi.","$43,159",Fair Deal,"
AutoNation Buick GMC Park Meadows
",(698 reviews),4.5
3061,Used,2021 Ford Ranger XLT,"25,053 mi.","$32,595",Fair Deal,"
DESOTO Ford
",(346 reviews),4.4
3062,GMC Certified,2021 GMC Canyon Elevation,"51,179 mi.","$34,000",Fair Deal,"
Salt Lake Valley Buick GMC
",(163 reviews),3.2
3063,Used,2021 Volkswagen Jetta 1.4T SE,"61,628 mi.","$20,311",Fair Deal,"
Walla Walla Valley Honda
",(152 reviews),4.1
3064,Used,2016 Lexus GX 460 Base,"76,125 mi.","$35,990",Fair Deal,"
BMW of Salem
",(747 reviews),4.8
3065,Used,2012 Cadillac CTS Luxury,"108,307 mi.","$9,998",Good Deal,"
#1 Cochran Chevrolet
",N/A,N/A
3066,Used,2017 Toyota Tacoma SR5,"136,746 mi.","$21,995",Fair Deal,"
Auto Land Group Inc
",(4 reviews),N/A
3067,Used,2023 Jeep Gladiator Mojave,"5,500 mi.","$67,991",Fair Deal,"
Dempsey Dodge Chrysler Jeep RAM
",(217 reviews),3.5
3068,Used,2019 Nissan Titan XD SV,"83,241 mi.","$37,777",Fair Deal,"
All Star Dodge Chrysler Jeep RAM
",(919 reviews),3.7
3069,Used,2017 Chrysler Pacifica Touring-L,"91,810 mi.","$20,202",Fair Deal,"
Snell Motors
",(727 reviews),4.8
3070,Used,2023 Audi Q4 e-tron 50 Premium Plus,"9,765 mi.","$58,800",Fair Deal,"
RMR 4x4
",(1 review),N/A
3071,Used,2016 Lincoln MKX Reserve,"49,174 mi.","$25,995",Fair Deal,"
Joshua Motor Car Co Inc
",(26 reviews),5.0
3072,Used,2015 BMW 320 i xDrive,"116,100 mi.","$13,550",Fair Deal,"
Market Auto Sales
",(121 reviews),4.5
3073,Used,2020 BMW X4 M40i AWD 4dr Sports Activity Coupe,"51,369 mi.","$43,995",Fair Deal,"
Liberty Autoland
",(169 reviews),N/A
3074,Used,2019 Mercedes-Benz AMG E 53 Base 4MATIC,"27,302 mi.","$56,995",Fair Deal,"
Import Masters
",(498 reviews),3.4
3075,Used,2023 Chevrolet Silverado 1500 LT,"4,553 mi.","$52,999",Fair Deal,"
Mazda 112
","(1,952 reviews)",4.9
3076,Used,2019 BMW 650 Gran Coupe 650i xDrive M-Sport Edition,"43,056 mi.","$45,995",Fair Deal,"
North Bay Imports
",(139 reviews),4.0
3077,Used,2023 Rivian R1S Adventure,301 mi.,"$95,750",Fair Deal,"
eCarOne
","(2,101 reviews)",4.9
3078,Honda Certified,2019 Honda Fit LX,"29,712 mi.","$22,426",Fair Deal,"
McGovern Honda of Boston
","(1,206 reviews)",4.9
3079,Used,2019 Ford Flex SEL,"65,755 mi.","$28,775",Fair Deal,"
First City Cars and Trucks
",(21 reviews),N/A
3080,Used,2019 Jeep Wrangler Unlimited Sahara,"51,620 mi.","$37,944",Fair Deal,"
McGee Chevrolet
",(430 reviews),4.4
3081,Used,2019 Chevrolet Suburban Premier,"90,330 mi.","$43,159",Fair Deal,"
AutoNation Buick GMC Park Meadows
",(698 reviews),4.5
3082,Used,2021 Ford Ranger XLT,"25,053 mi.","$32,595",Fair Deal,"
DESOTO Ford
",(346 reviews),4.4
3083,GMC Certified,2021 GMC Canyon Elevation,"51,179 mi.","$34,000",Fair Deal,"
Salt Lake Valley Buick GMC
",(163 reviews),3.2
3084,Used,2021 Volkswagen Jetta 1.4T SE,"61,628 mi.","$20,311",Fair Deal,"
Walla Walla Valley Honda
",(152 reviews),4.1
3085,Used,2016 Lexus GX 460 Base,"76,125 mi.","$35,990",Fair Deal,"
BMW of Salem
",(747 reviews),4.8
3086,Used,2012 Cadillac CTS Luxury,"108,307 mi.","$9,998",Good Deal,"
#1 Cochran Chevrolet
",N/A,N/A
3087,Used,2017 Toyota Tacoma SR5,"136,746 mi.","$21,995",Fair Deal,"
Auto Land Group Inc
",(4 reviews),N/A
3088,Used,2023 Jeep Gladiator Mojave,"5,500 mi.","$67,991",Fair Deal,"
Dempsey Dodge Chrysler Jeep RAM
",(217 reviews),3.5
3089,Used,2019 Nissan Titan XD SV,"83,241 mi.","$37,777",Fair Deal,"
All Star Dodge Chrysler Jeep RAM
",(919 reviews),3.7
3090,Used,2017 Chrysler Pacifica Touring-L,"91,810 mi.","$20,202",Fair Deal,"
Snell Motors
",(727 reviews),4.8
3091,Used,2023 Audi Q4 e-tron 50 Premium Plus,"9,765 mi.","$58,800",Fair Deal,"
RMR 4x4
",(1 review),N/A
3092,Used,2016 Lincoln MKX Reserve,"49,174 mi.","$25,995",Fair Deal,"
Joshua Motor Car Co Inc
",(26 reviews),5.0
3093,Used,2015 BMW 320 i xDrive,"116,100 mi.","$13,550",Fair Deal,"
Market Auto Sales
",(121 reviews),4.5
3094,Used,2020 BMW X4 M40i AWD 4dr Sports Activity Coupe,"51,369 mi.","$43,995",Fair Deal,"
Liberty Autoland
",(169 reviews),N/A
3095,Used,2019 Mercedes-Benz AMG E 53 Base 4MATIC,"27,302 mi.","$56,995",Fair Deal,"
Import Masters
",(498 reviews),3.4
3096,Used,2023 Chevrolet Silverado 1500 LT,"4,553 mi.","$52,999",Fair Deal,"
Mazda 112
","(1,952 reviews)",4.9
3097,Used,2019 BMW 650 Gran Coupe 650i xDrive M-Sport Edition,"43,056 mi.","$45,995",Fair Deal,"
North Bay Imports
",(139 reviews),4.0
3098,Used,2023 Rivian R1S Adventure,301 mi.,"$95,750",Fair Deal,"
eCarOne
","(2,101 reviews)",4.9
3099,Honda Certified,2019 Honda Fit LX,"29,712 mi.","$22,426",Fair Deal,"
McGovern Honda of Boston
","(1,206 reviews)",4.9
3100,Used,2019 Ford Flex SEL,"65,755 mi.","$28,775",Fair Deal,"
First City Cars and Trucks
",(21 reviews),N/A
3101,Used,2019 Jeep Wrangler Unlimited Sahara,"51,620 mi.","$37,944",Fair Deal,"
McGee Chevrolet
",(430 reviews),4.4
3102,Used,2019 Chevrolet Suburban Premier,"90,330 mi.","$43,159",Fair Deal,"
AutoNation Buick GMC Park Meadows
",(698 reviews),4.5
3103,Used,2021 Ford Ranger XLT,"25,053 mi.","$32,595",Fair Deal,"
DESOTO Ford
",(346 reviews),4.4
3104,GMC Certified,2021 GMC Canyon Elevation,"51,179 mi.","$34,000",Fair Deal,"
Salt Lake Valley Buick GMC
",(163 reviews),3.2
3105,Used,2021 Volkswagen Jetta 1.4T SE,"61,628 mi.","$20,311",Fair Deal,"
Walla Walla Valley Honda
",(152 reviews),4.1
3106,Used,2016 Lexus GX 460 Base,"76,125 mi.","$35,990",Fair Deal,"
BMW of Salem
",(747 reviews),4.8
3107,Used,2012 Cadillac CTS Luxury,"108,307 mi.","$9,998",Good Deal,"
#1 Cochran Chevrolet
",N/A,N/A
3108,Used,2017 Toyota Tacoma SR5,"136,746 mi.","$21,995",Fair Deal,"
Auto Land Group Inc
",(4 reviews),N/A
3109,Used,2023 Jeep Gladiator Mojave,"5,500 mi.","$67,991",Fair Deal,"
Dempsey Dodge Chrysler Jeep RAM
",(217 reviews),3.5
3110,Used,2019 Nissan Titan XD SV,"83,241 mi.","$37,777",Fair Deal,"
All Star Dodge Chrysler Jeep RAM
",(919 reviews),3.7
3111,Used,2017 Chrysler Pacifica Touring-L,"91,810 mi.","$20,202",Fair Deal,"
Snell Motors
",(727 reviews),4.8
3112,Used,2023 Audi Q4 e-tron 50 Premium Plus,"9,765 mi.","$58,800",Fair Deal,"
RMR 4x4
",(1 review),N/A
3113,Used,2016 Lincoln MKX Reserve,"49,174 mi.","$25,995",Fair Deal,"
Joshua Motor Car Co Inc
",(26 reviews),5.0
3114,Used,2015 BMW 320 i xDrive,"116,100 mi.","$13,550",Fair Deal,"
Market Auto Sales
",(121 reviews),4.5
3115,Used,2020 BMW X4 M40i AWD 4dr Sports Activity Coupe,"51,369 mi.","$43,995",Fair Deal,"
Liberty Autoland
",(169 reviews),N/A
3116,Used,2019 Mercedes-Benz AMG E 53 Base 4MATIC,"27,302 mi.","$56,995",Fair Deal,"
Import Masters
",(498 reviews),3.4
3117,Used,2023 Chevrolet Silverado 1500 LT,"4,553 mi.","$52,999",Fair Deal,"
Mazda 112
","(1,952 reviews)",4.9
3118,Used,2019 BMW 650 Gran Coupe 650i xDrive M-Sport Edition,"43,056 mi.","$45,995",Fair Deal,"
North Bay Imports
",(139 reviews),4.0
3119,Used,2023 Rivian R1S Adventure,301 mi.,"$95,750",Fair Deal,"
eCarOne
","(2,101 reviews)",4.9
3120,Honda Certified,2019 Honda Fit LX,"29,712 mi.","$22,426",Fair Deal,"
McGovern Honda of Boston
","(1,206 reviews)",4.9
3121,Used,2019 Ford Flex SEL,"65,755 mi.","$28,775",Fair Deal,"
First City Cars and Trucks
",(21 reviews),N/A
3122,Used,2019 Jeep Wrangler Unlimited Sahara,"51,620 mi.","$37,944",Fair Deal,"
McGee Chevrolet
",(430 reviews),4.4
3123,Used,2019 Chevrolet Suburban Premier,"90,330 mi.","$43,159",Fair Deal,"
AutoNation Buick GMC Park Meadows
",(698 reviews),4.5
3124,Used,2021 Ford Ranger XLT,"25,053 mi.","$32,595",Fair Deal,"
DESOTO Ford
",(346 reviews),4.4
3125,GMC Certified,2021 GMC Canyon Elevation,"51,179 mi.","$34,000",Fair Deal,"
Salt Lake Valley Buick GMC
",(163 reviews),3.2
3126,Used,2021 Volkswagen Jetta 1.4T SE,"61,628 mi.","$20,311",Fair Deal,"
Walla Walla Valley Honda
",(152 reviews),4.1
3127,Used,2016 Lexus GX 460 Base,"76,125 mi.","$35,990",Fair Deal,"
BMW of Salem
",(747 reviews),4.8
3128,Used,2012 Cadillac CTS Luxury,"108,307 mi.","$9,998",Good Deal,"
#1 Cochran Chevrolet
",N/A,N/A
3129,Used,2017 Toyota Tacoma SR5,"136,746 mi.","$21,995",Fair Deal,"
Auto Land Group Inc
",(4 reviews),N/A
3130,Used,2023 Jeep Gladiator Mojave,"5,500 mi.","$67,991",Fair Deal,"
Dempsey Dodge Chrysler Jeep RAM
",(217 reviews),3.5
3131,Used,2019 Nissan Titan XD SV,"83,241 mi.","$37,777",Fair Deal,"
All Star Dodge Chrysler Jeep RAM
",(919 reviews),3.7
3132,Used,2017 Chrysler Pacifica Touring-L,"91,810 mi.","$20,202",Fair Deal,"
Snell Motors
",(727 reviews),4.8
3133,Used,2023 Audi Q4 e-tron 50 Premium Plus,"9,765 mi.","$58,800",Fair Deal,"
RMR 4x4
",(1 review),N/A
3134,Used,2016 Lincoln MKX Reserve,"49,174 mi.","$25,995",Fair Deal,"
Joshua Motor Car Co Inc
",(26 reviews),5.0
